22:46:43.175 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_08_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/9b3bdd1f/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 11, 2020 10:46:43 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
22:46:43.575 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.575 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.8.1
22:46:43.575 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
22:46:43.576 INFO  ApplyBQSR - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
22:46:43.576 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
22:46:43.576 INFO  ApplyBQSR - Start Date/Time: 11 September 2020 10:46:43 PM
22:46:43.576 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.576 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.577 INFO  ApplyBQSR - HTSJDK Version: 2.23.0
22:46:43.577 INFO  ApplyBQSR - Picard Version: 2.22.8
22:46:43.577 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
22:46:43.578 INFO  ApplyBQSR - Deflater: IntelDeflater
22:46:43.578 INFO  ApplyBQSR - Inflater: IntelInflater
22:46:43.578 INFO  ApplyBQSR - GCS max retries/reopens: 20
22:46:43.578 INFO  ApplyBQSR - Requester pays: disabled
22:46:43.579 INFO  ApplyBQSR - Initializing engine
22:46:44.078 INFO  ApplyBQSR - Done initializing engine
22:46:44.131 WARN  ApplyBQSR - This tool has only been well tested on ILLUMINA-based sequencing data. For other data use at your own risk.
22:46:44.131 INFO  ProgressMeter - Starting traversal
22:46:44.131 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
22:46:54.142 INFO  ProgressMeter -            1:3831373              0.2                442000        2649615.3
22:47:04.147 INFO  ProgressMeter -           1:16532641              0.3                982000        2943792.2
22:47:14.156 INFO  ProgressMeter -           1:23697657              0.5               1495000        2987609.9
22:47:24.170 INFO  ProgressMeter -           1:33742041              0.7               1980000        2967181.2
22:47:34.177 INFO  ProgressMeter -           1:46078817              0.8               2511000        3010430.4
22:47:44.190 INFO  ProgressMeter -           1:70709411              1.0               3030000        3027073.8
22:47:54.199 INFO  ProgressMeter -          1:104115667              1.2               3554000        3043372.8
22:48:04.209 INFO  ProgressMeter -          1:143209301              1.3               4120000        3086990.2
22:48:14.220 INFO  ProgressMeter -          1:148321924              1.5               4699000        3129606.6
22:48:24.235 INFO  ProgressMeter -          1:154541981              1.7               5276000        3162311.2
22:48:34.235 INFO  ProgressMeter -          1:165182911              1.8               5850000        3187895.1
22:48:44.247 INFO  ProgressMeter -          1:193053977              2.0               6422000        3207925.7
22:48:54.251 INFO  ProgressMeter -          1:209849059              2.2               6999000        3227353.4
22:49:04.263 INFO  ProgressMeter -          1:228879411              2.3               7560000        3236971.1
22:49:14.276 INFO  ProgressMeter -            2:2329792              2.5               8086000        3231276.4
22:49:24.289 INFO  ProgressMeter -           2:29383207              2.7               8653000        3241673.8
22:49:34.783 INFO  ProgressMeter -           2:61770019              2.8               9182000        3228343.2
22:49:44.794 INFO  ProgressMeter -           2:87758450              3.0               9767000        3243736.9
22:49:54.796 INFO  ProgressMeter -          2:109381999              3.2              10356000        3258926.7
22:50:04.805 INFO  ProgressMeter -          2:131340442              3.3              10938000        3270378.8
22:50:14.817 INFO  ProgressMeter -          2:165430514              3.5              11486000        3271028.9
22:50:24.828 INFO  ProgressMeter -          2:192744997              3.7              12075000        3282796.2
22:50:34.840 INFO  ProgressMeter -          2:220115903              3.8              12705000        3304162.4
22:50:44.846 INFO  ProgressMeter -          2:242164096              4.0              13290000        3312631.1
22:50:54.851 INFO  ProgressMeter -           3:30322237              4.2              13848000        3313989.0
22:51:04.859 INFO  ProgressMeter -           3:48612666              4.3              14447000        3324626.9
22:51:14.867 INFO  ProgressMeter -           3:62307576              4.5              15056000        3336682.2
22:51:24.875 INFO  ProgressMeter -          3:114057507              4.7              15645000        3343627.4
22:51:34.878 INFO  ProgressMeter -          3:129389374              4.8              16069000        3316090.3
22:51:44.894 INFO  ProgressMeter -          3:164629830              5.0              16665000        3324555.6
