13:12:44.469 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 12, 2020 1:12:44 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
13:12:44.819 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.820 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.1.8.1
13:12:44.820 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:12:44.820 INFO  HaplotypeCaller - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
13:12:44.820 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
13:12:44.820 INFO  HaplotypeCaller - Start Date/Time: 12 September 2020 1:12:44 PM
13:12:44.820 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.821 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Version: 2.23.0
13:12:44.821 INFO  HaplotypeCaller - Picard Version: 2.22.8
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:12:44.822 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:12:44.822 INFO  HaplotypeCaller - Inflater: IntelInflater
13:12:44.822 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:12:44.822 INFO  HaplotypeCaller - Requester pays: disabled
13:12:44.822 INFO  HaplotypeCaller - Initializing engine
13:12:45.194 INFO  FeatureManager - Using codec VCFCodec to read file file:///store/lkemp/publicData/b37/dbsnp_138.b37.vcf
13:12:45.344 INFO  HaplotypeCaller - Done initializing engine
13:12:45.355 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
13:12:45.370 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:12:45.371 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:12:45.420 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:12:45.420 INFO  IntelPairHmm - Available threads: 2
13:12:45.420 INFO  IntelPairHmm - Requested threads: 2
13:12:45.420 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:12:45.458 INFO  ProgressMeter - Starting traversal
13:12:45.459 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:12:45.972 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated; at least 10 samples must have called genotypes
13:12:55.477 INFO  ProgressMeter -             1:943650              0.2                  3550          21261.7
13:13:05.533 INFO  ProgressMeter -            1:1890662              0.3                  7710          23044.7
13:13:15.543 INFO  ProgressMeter -            1:3496517              0.5                 14660          29238.1
13:13:25.545 INFO  ProgressMeter -            1:5605124              0.7                 23420          35054.6
13:13:35.546 INFO  ProgressMeter -            1:7642946              0.8                 32000          38333.3
13:13:45.554 INFO  ProgressMeter -            1:9709757              1.0                 40580          40515.8
13:13:55.616 INFO  ProgressMeter -           1:11722726              1.2                 48940          41854.7
13:14:06.896 INFO  ProgressMeter -           1:12855154              1.4                 53670          39542.2
13:14:16.904 INFO  ProgressMeter -           1:14924994              1.5                 61640          40444.4
13:14:27.654 INFO  ProgressMeter -           1:16389926              1.7                 67840          39830.1
13:14:38.219 INFO  ProgressMeter -           1:16893082              1.9                 70060          37279.2
13:14:48.275 INFO  ProgressMeter -           1:16944580              2.0                 70410          34397.8
13:15:02.171 INFO  ProgressMeter -           1:16973657              2.3                 70620          30993.8
13:15:13.046 INFO  ProgressMeter -           1:16976414              2.5                 70640          28718.0
13:15:27.250 INFO  ProgressMeter -           1:17085602              2.7                 71210          26408.1
13:15:37.252 INFO  ProgressMeter -           1:17307555              2.9                 72180          25209.4
13:15:47.264 INFO  ProgressMeter -           1:19483630              3.0                 81550          26913.5
13:15:57.277 INFO  ProgressMeter -           1:21202174              3.2                 88840          27788.8
13:16:07.281 INFO  ProgressMeter -           1:22517038              3.4                 94470          28085.1
13:16:17.288 INFO  ProgressMeter -           1:24616330              3.5                103370          29279.3
13:16:27.289 INFO  ProgressMeter -           1:26879369              3.7                112810          30512.6
13:16:37.381 INFO  ProgressMeter -           1:28970252              3.9                121350          31394.3
13:16:47.390 INFO  ProgressMeter -           1:31762712              4.0                132980          32979.7
13:16:57.398 INFO  ProgressMeter -           1:33767735              4.2                141330          33658.3
13:17:07.402 INFO  ProgressMeter -           1:36762960              4.4                153440          35146.6
13:17:17.417 INFO  ProgressMeter -           1:39211259              4.5                163530          36078.4
13:17:27.423 INFO  ProgressMeter -           1:41424942              4.7                172600          36728.1
13:17:37.432 INFO  ProgressMeter -           1:44116619              4.9                183650          37739.9
13:17:47.435 INFO  ProgressMeter -           1:46441697              5.0                193320          38411.0
13:17:57.455 INFO  ProgressMeter -           1:48569286              5.2                202070          38860.1
13:18:07.455 INFO  ProgressMeter -           1:52748395              5.4                218340          40685.0
13:18:17.459 INFO  ProgressMeter -           1:55308823              5.5                228930          41372.9
13:18:27.473 INFO  ProgressMeter -           1:59000737              5.7                243710          42754.4
13:18:37.481 INFO  ProgressMeter -           1:62642215              5.9                258100          43991.6
13:18:47.484 INFO  ProgressMeter -           1:66547180              6.0                273550          45336.6
13:18:57.486 INFO  ProgressMeter -           1:70641051              6.2                289710          46724.0
13:19:07.486 INFO  ProgressMeter -           1:75580858              6.4                308780          48496.0
13:19:17.491 INFO  ProgressMeter -           1:78621978              6.5                320880          49110.3
13:19:27.495 INFO  ProgressMeter -           1:82963886              6.7                337750          50405.9
13:19:37.499 INFO  ProgressMeter -           1:86670583              6.9                352350          51308.1
13:19:47.504 INFO  ProgressMeter -           1:90482766              7.0                367400          52231.4
13:19:57.505 INFO  ProgressMeter -           1:94132913              7.2                381870          53032.0
13:20:07.583 INFO  ProgressMeter -           1:98187615              7.4                397810          53986.2
13:20:17.584 INFO  ProgressMeter -          1:102411241              7.5                414380          54991.1
